service,var,D,p_value,p_perm,n_hot,n_non,mean_hot,mean_non,median_hot,median_non,q10_hot,q90_hot,q10_non,q90_non,median_delta,mean_delta,auc,cliffs_delta,p_hot_greater,p_hot_less,p_adj,p_hot_greater_adj,p_hot_less_adj
Pollination,GHS_POP_E2020_GLOBE_sum,0.2684237291883167,0,NA,45227,45227,4134.984047868461,13825.338063000945,151.42720815845573,1204.9503237873103,0,6002.51460717637,8.804316153615169,24898.14428306025,-1053.5231156288546,-9690.354015132485,0.32718757955599215,-0.3456248408880157,0,1,0,0,1
Sed_Ret_Ratio,GHS_POP_E2020_GLOBE_sum,0.24329376161283503,0,NA,89879,89879,11659.19335203898,8137.398178058983,947.6379521460668,47.612494719205166,0,18957.677983956626,0,11784.07600768748,900.0254574268616,3521.7951739799964,0.6476772871197911,0.2953545742395822,0.9767322057294742,0,0,1,0
N_export,GHS_POP_E2020_GLOBE_sum,0.19034264792619549,0,NA,89859,89859,13120.184654778503,8683.685485893307,409.64040970893876,53.15072826853441,0,18085.2714051324,0,12215.083852696278,356.48968144040435,4436.499168885195,0.6061453740515118,0.21229074810302362,0.9974992093875115,0,0,1,0
C_Risk,GHS_POP_E2020_GLOBE_sum,0.10728686635944701,7.513285207759402e-70,NA,13888,13888,17876.051484095504,24783.758116533943,515.6006117950402,92.64066624775185,0,47223.03020517314,0,35101.69425048942,422.9599455472884,-6907.70663243844,0.5570435822408764,0.11408716448175271,2.675793312844066e-4,0,8.586611666010745e-70,5.351586625688132e-4,0
Sed_export,GHS_POP_E2020_GLOBE_sum,0.07781140136175514,8.960921754066716e-237,NA,89884,89884,4576.244473540849,8467.221601650117,45.156290590763085,59.11057065142526,0,5118.3414658998,0,12625.055265912097,-13.954280060662178,-3890.977128109268,0.47227464254428825,-0.055450714911423504,0,0.018466023669891918,1.1947895672088954e-236,0,0.021104027051305048
C_Risk_Red_Ratio,GHS_POP_E2020_GLOBE_sum,0.07198105761641672,6.180445345273551e-29,NA,12670,12670,21533.57096417745,25525.78358876996,54.292810522677044,181.4766604079448,0,42694.246158906775,0,34230.44896039738,-127.18384988526775,-3992.21262459251,0.502617192293724,0.005234384587448071,0,0,6.180445345273551e-29,0,0
Nature_Access,GlobPOP_Count_30arc_2020_sum,0.32307343265522204,0,NA,79338,79338,42455.821862634526,5816.778770977978,3541.613087952137,241.70287447795272,24.28882500529292,106342.44616556633,0,9432.461005041376,3299.9102134741843,36639.043091656546,0.7215052017410596,0.4430104034821192,1,0,0,1,0
N_Ret_Ratio,GlobPOP_Count_30arc_2020_sum,0.3082415317954488,0,NA,89777,89777,34849.26164133626,7166.1031924037015,2485.9051794642583,189.24277371168137,17,55444.59016114473,0,11773.016143109564,2296.662405752577,27683.15844893256,0.7088019465583769,0.41760389311675383,1,0,0,1,0
Pollination,GlobPOP_Count_30arc_2020_sum,0.27930218674685475,0,NA,45227,45227,4019.378657159007,13567.381379372882,347.8210095912218,1745.7169638872147,4.765484106540683,6159.448034197092,43,25509.075793832548,-1397.8959542959929,-9548.002722213874,0.32367302154210753,-0.35265395691578494,0,1,0,0,1
Sed_Ret_Ratio,GlobPOP_Count_30arc_2020_sum,0.2203740584563691,0,NA,89879,89879,12126.58461722593,8198.200627648419,1348.13164255023,187.31333048734814,0.92080201506615,18715.55266666598,0,12522.129328891635,1160.818312062882,3928.383989577511,0.6361896428356048,0.2723792856712095,0.6973382780566653,0,0,1,0
N_export,GlobPOP_Count_30arc_2020_sum,0.16433523631467076,0,NA,89859,89859,13938.374140725196,8586.956296434872,754.7450137427077,199.17413347400725,1,18113.024359478037,0,13250.368960418531,555.5708802687004,5351.417844290325,0.6044147600915157,0.20882952018303147,0.9995994525905562,0,0,1,0
