service,var,D,p_value,p_perm,n_hot,n_non,mean_hot,mean_non,median_hot,median_non,q10_hot,q90_hot,q10_non,q90_non,median_delta,mean_delta,auc,cliffs_delta,p_hot_greater,p_hot_less,p_adj,p_hot_greater_adj,p_hot_less_adj
Pollination,rast_adm1_gini_disp_2020_mean,0.2671447647198957,0,NA,68577,67707,0.3984064958288857,0.34720745690826765,0.3779999911785126,0.3149999976158142,0.27300000190734863,0.5529999732971191,0.2280000001192093,0.5139999985694885,0.06299999356269836,0.051199038920618056,0.6499551117954502,0.29991022359090036,0.40747116230909985,0,0,0.46568132835325693,0
Sed_export,rast_adm1_gini_disp_2020_mean,0.22126196656399755,0,NA,68548,66877,0.3950803393807898,0.33492579989953264,0.3659999966621399,0.3050000071525574,0.2525271696284638,0.5529999732971191,0.22699999809265137,0.4830000102519989,0.06099998950958252,0.06015453948125715,0.6510418824355206,0.30208376487104127,0.6426705205949067,0,0,0.6426705205949067,0
Nature_Access,rast_adm1_gini_disp_2020_mean,0.20433297344909518,0,NA,67626,67490,0.38200774951439764,0.34970249924572877,0.36500000953674316,0.32199999690055847,0.27300000190734863,0.5509999990463257,0.23100000619888306,0.5149999856948853,0.04300001263618469,0.03230525026866887,0.6088415780705834,0.21768315614116673,0.0013955054427948754,0,0,0.003721347847453001,0
N_export,rast_adm1_gini_disp_2020_mean,0.1981149267528433,0,NA,68594,67242,0.38257578565531697,0.3457455240199783,0.3540000021457672,0.32199999690055847,0.2720000147819519,0.5519999861717224,0.22699999809265137,0.5059999823570251,0.03200000524520874,0.036830261635338646,0.6118961239246533,0.22379224784930662,0.35750271874736106,0,0,0.46568132835325693,0
N_Ret_Ratio,rast_adm1_gini_disp_2020_mean,0.16304293521506066,0,NA,50828,50625,0.36835982494447195,0.4064304448144529,0.34599998593330383,0.3880000114440918,0.2709999978542328,0.527999997138977,0.2709999978542328,0.5509999990463257,-0.042000025510787964,-0.03807061986998095,0.4127119367472191,-0.17457612650556176,0,2.6665774105927298e-5,0,0,2.6665774105927298e-5
C_Risk,rast_adm1_gini_disp_2020_mean,0.15657646662660038,1.3467341699148333e-41,NA,3916,3819,0.3367722994654279,0.3308643850907793,0.32100000977516174,0.3045887589644645,0.22499999403953552,0.45399999618530273,0.23199999332427979,0.45399999618530273,0.01641125081069722,0.005907914374648604,0.5333991432012563,0.06679828640251251,0.014644793050172522,0,1.5391247656169522e-41,0.029289586100345044,0
C_Risk_Red_Ratio,rast_adm1_gini_disp_2020_mean,0.14750231251509208,6.866524165507855e-37,NA,3919,3801,0.3358348002093004,0.3295937902084758,0.32100000977516174,0.3019999861717224,0.23199999332427979,0.45100000500679016,0.23199999332427976,0.45699998736381525,0.01900002360343933,0.0062410100008246094,0.5343973487322436,0.0687946974644873,0.23345493891222335,0,6.866524165507855e-37,0.3735279022595574,0
Sed_Ret_Ratio,rast_adm1_gini_disp_2020_mean,0.1465475761810055,0,NA,51622,51331,0.3838818822886,0.41266957255658726,0.35868411935913114,0.4009999930858612,0.27300000190734863,0.5519999861717224,0.2709999978542328,0.5509999990463257,-0.04231587372673007,-0.028787690267987276,0.4461241465489208,-0.1077517069021584,0,0,0,0,0
Sed_Ret_Ratio,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.5525327967183932,0,NA,51682,51682,131425305.73540081,7465303.481341531,7047172.270426197,0,6880.97167882175,222582931.12520775,0,5270467.200092984,7047172.270426197,123960002.25405928,0.8340251933172107,0.6680503866344214,1,0,0,1,0
Pollination,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.5311807903018998,0,NA,68632,68632,51571616.387262434,27828263.024886236,2560023.762170844,0,8897.424978142993,92968787.26707712,0,4968267.253404536,2560023.762170844,23743353.3623762,0.8167450396371955,0.6334900792743909,0.9929727037605827,0,0,1,0
Nature_Access,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.5167500848946567,0,NA,67731,67731,483404048.2281615,48828909.403405145,9425308.010859191,442,85906.32256074995,506644662.94038457,0,35707037.4425474,9424866.010859191,434575138.8247564,0.8054926456956737,0.6109852913913474,0.9999852358208517,0,0,1,0
N_export,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.5123411819559387,0,NA,68632,68632,165053474.8635629,15737500.58513144,3186741.785732045,0,0,165002445.49648997,0,6401307.038083273,3186741.785732045,149315974.27843148,0.801343542069442,0.602687084138884,1,0,0,1,0
C_Risk_Red_Ratio,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.5015098137896326,0,NA,3974,3974,1671204839.2717912,116073682.91885954,110916358.61072691,5046.470383040607,25215.718135536463,3439923239.857071,0,94774987.97252807,110911312.14034387,1555131156.3529317,0.819528273739042,0.639056547478084,1,0,0,1,0
C_Risk,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.49396074484146957,0,NA,3974,3974,1597207188.7191374,109181094.54647286,96828166.50115521,1092.1203704476357,21060.967509567745,3311736187.7745333,0,92029570.8392051,96827074.38078476,1488026094.1726646,0.8187452208859347,0.6374904417718694,1,0,0,1,0
Sed_export,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.4781297354003961,0,NA,68632,68632,47189177.61578715,16961963.57138446,658311.8977141678,0,0,47551653.39172883,0,2384858.091874648,658311.8977141678,30227214.04440269,0.7622525173399886,0.5245050346799771,0.9998688744328877,0,0,1,0
N_Ret_Ratio,rast_gdpTot_1990_2020_30arcsec_2020_sum,0.3817667177733222,0,NA,50874,50874,418361511.5248147,10066240.549412053,4169770.944380313,6439.523925244808,0,631883001.6601223,0,8533379.16486368,4163331.4204550683,408295270.97540265,0.74312232905147,0.48624465810294004,1,0,0,1,0
