service,income_grp,hdi_bin,gdp_bin,gini_bin,exposed_population,hotspot_cells
C_Risk,Lower middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q2,5420705.276944652,120
C_Risk,Lower middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q3,7624292.690023593,129
C_Risk,Lower middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q4 (Highest Gini),631111.7090169807,17
C_Risk,Lower middle income,High (0.700-0.800),Q1 (Lowest GDP),Q1 (Lowest Gini),10.572105947620125,1
C_Risk,Lower middle income,High (0.700-0.800),Q1 (Lowest GDP),Q4 (Highest Gini),22.69229739633643,1
C_Risk,Lower middle income,High (0.700-0.800),Q2,Q1 (Lowest Gini),2314.4604827545663,5
C_Risk,Lower middle income,High (0.700-0.800),Q2,Q2,903.6891748417275,2
C_Risk,Lower middle income,High (0.700-0.800),Q2,Q3,1350.5513891847384,1
C_Risk,Lower middle income,High (0.700-0.800),Q3,Q1 (Lowest Gini),26821.88354019208,12
C_Risk,Lower middle income,High (0.700-0.800),Q3,Q2,41600.84134262807,9
C_Risk,Lower middle income,High (0.700-0.800),Q3,Q3,5287.773658086332,3
C_Risk,Lower middle income,High (0.700-0.800),Q3,NA,9816.684749400798,4
C_Risk,Lower middle income,High (0.700-0.800),Q4 (Highest GDP),Q1 (Lowest Gini),4398723.199756533,27
C_Risk,Lower middle income,High (0.700-0.800),Q4 (Highest GDP),Q2,13216533.815288126,99
C_Risk,Lower middle income,High (0.700-0.800),Q4 (Highest GDP),Q3,31691406.776394725,111
C_Risk,Lower middle income,High (0.700-0.800),Q4 (Highest GDP),Q4 (Highest Gini),769681.864309417,7
C_Risk,Lower middle income,High (0.700-0.800),Q4 (Highest GDP),NA,23105.49506991684,2
C_Risk,Lower middle income,Very High (>0.800),Q4 (Highest GDP),Q1 (Lowest Gini),703047.2126567379,4
C_Risk,Lower middle income,Very High (>0.800),Q4 (Highest GDP),Q2,1299650.6375651986,7
C_Risk,Lower middle income,Very High (>0.800),Q4 (Highest GDP),Q3,9035048.985460605,17
C_Risk,Lower middle income,Very High (>0.800),Q4 (Highest GDP),Q4 (Highest Gini),433213.64485481166,2
C_Risk,Lower middle income,Very High (>0.800),Q4 (Highest GDP),NA,231058.77312342837,4
C_Risk,Upper middle income,Low (<0.550),Q1 (Lowest GDP),Q3,1.1318744584351488,3
C_Risk,Upper middle income,Low (<0.550),Q1 (Lowest GDP),Q4 (Highest Gini),363.4430362595679,13
C_Risk,Upper middle income,Low (<0.550),Q2,Q3,750.2194687175529,4
C_Risk,Upper middle income,Low (<0.550),Q2,Q4 (Highest Gini),633.7272064909494,6
C_Risk,Upper middle income,Low (<0.550),Q3,Q3,2447.6053492980654,1
C_Risk,Upper middle income,Medium (0.550-0.700),Q1 (Lowest GDP),Q1 (Lowest Gini),87.41545962438383,37
C_Risk,Upper middle income,Medium (0.550-0.700),Q1 (Lowest GDP),Q3,172.09170514890664,19
C_Risk,Upper middle income,Medium (0.550-0.700),Q1 (Lowest GDP),Q4 (Highest Gini),750.6676559282471,31
C_Risk,Upper middle income,Medium (0.550-0.700),Q2,Q1 (Lowest Gini),270.71471855199667,4
C_Risk,Upper middle income,Medium (0.550-0.700),Q2,Q2,428.8865939831022,4
C_Risk,Upper middle income,Medium (0.550-0.700),Q2,Q3,4316.861424851525,23
C_Risk,Upper middle income,Medium (0.550-0.700),Q2,Q4 (Highest Gini),11524.644985251496,45
C_Risk,Upper middle income,Medium (0.550-0.700),Q3,Q1 (Lowest Gini),2111.590038543628,3
C_Risk,Upper middle income,Medium (0.550-0.700),Q3,Q2,6687.636465001188,7
C_Risk,Upper middle income,Medium (0.550-0.700),Q3,Q3,56635.541007581305,37
C_Risk,Upper middle income,Medium (0.550-0.700),Q3,Q4 (Highest Gini),67841.74662067488,33
C_Risk,Upper middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q1 (Lowest Gini),84259.31167762681,2
C_Risk,Upper middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q2,163086.11022662173,8
C_Risk,Upper middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q3,501676.01890801237,33
C_Risk,Upper middle income,Medium (0.550-0.700),Q4 (Highest GDP),Q4 (Highest Gini),246017.29783939302,16
C_Risk,Upper middle income,High (0.700-0.800),Q1 (Lowest GDP),Q1 (Lowest Gini),91.05198360001103,39
C_Risk,Upper middle income,High (0.700-0.800),Q1 (Lowest GDP),Q2,9.318864539265636,1
C_Risk,Upper middle income,High (0.700-0.800),Q1 (Lowest GDP),Q3,76.82038149206733,15
C_Risk,Upper middle income,High (0.700-0.800),Q1 (Lowest GDP),Q4 (Highest Gini),88.14043175938119,7
C_Risk,Upper middle income,High (0.700-0.800),Q2,Q1 (Lowest Gini),1320.811546578619,17
C_Risk,Upper middle income,High (0.700-0.800),Q2,Q3,1440.1049134297427,15
C_Risk,Upper middle income,High (0.700-0.800),Q2,Q4 (Highest Gini),2395.9322297487884,7
C_Risk,Upper middle income,High (0.700-0.800),Q3,Q1 (Lowest Gini),20138.88614514197,27
C_Risk,Upper middle income,High (0.700-0.800),Q3,Q2,3191.589998249211,1
