group,mean_hotspots,pct_multi,n_pixels,grouping
Cuba,0.20766488413547238,5.169340463458111,1122,nev_name
Suriname,0.20652173913043478,5.502717391304348,1472,nev_name
Romania,0.20445940260832982,4.2911232646192685,2377,nev_name
Norway,0.2029058116232465,8.266533066132265,3992,nev_name
Czechia,0.1989795918367347,2.933673469387755,784,nev_name
Niger,0.1979034576041931,4.032462591935075,11829,nev_name
Guinea,0.18989405052974734,3.137734311328443,2454,nev_name
Mongolia,0.18922201623729465,3.017324042702806,15643,nev_name
Venezuela,0.18769129864451245,3.738522081329252,9148,nev_name
Republic of the Congo,0.1873536299765808,3.629976580796253,3416,nev_name
Australia,0.1832000623085311,4.153902071758658,77036,nev_name
Somalia,0.17959634184799747,3.5635446231472723,6342,nev_name
Ethiopia,0.17481402763018067,3.2146652497343253,11292,nev_name
Poland,0.17102744097000638,3.095086151882578,3134,nev_name
Albania,0.1695501730103806,1.7301038062283738,289,nev_name
Uganda,0.1645360824742268,3.876288659793815,2425,nev_name
Republic of Serbia,0.15600448933782268,2.356902356902357,891,nev_name
Lithuania,0.15572519083969466,3.6641221374045805,655,nev_name
Bulgaria,0.15350089766606823,2.872531418312388,1114,nev_name
Bhutan,0.14910025706940874,3.0848329048843186,389,nev_name
Mauritania,0.14789544493561407,3.2096867192004614,10406,nev_name
Finland,0.14614024749558044,0.5598114319387153,3394,nev_name
Jordan,0.14508928571428573,2.1205357142857144,896,nev_name
Ukraine,0.14385150812064965,2.6184951939012264,6034,nev_name
Turkmenistan,0.14239218877135884,2.2782750203417415,4916,nev_name
Hungary,0.13606911447084233,2.267818574514039,926,nev_name
Namibia,0.13233503774044314,2.288775261748235,8214,nev_name
Yemen,0.12671081677704193,2.5386313465783665,4530,nev_name
Canada,0.12388152113126148,2.1610609570983463,100136,nev_name
Senegal,0.11776547559134373,1.8621036738802215,1987,nev_name
El Salvador,0.11764705882352941,4.411764705882353,204,nev_name
Solomon Islands,0.11764705882352941,0.9803921568627451,306,nev_name
Russia,0.1099842660742382,2.0896067697130767,169697,nev_name
Algeria,0.10808820343976086,2.6599662088983234,23083,nev_name
Macedonia,0.108,2.4,250,nev_name
Ireland,0.10504201680672269,3.361344537815126,714,nev_name
Central African Republic,0.10438851242336238,1.5972894482090998,6198,nev_name
Cabo Verde,0.1,5,40,nev_name
Uruguay,0.07890318970341355,1.6787912702853944,1787,nev_name
Egypt,0.05600162618152251,1.3009452180099603,9839,nev_name
Botswana,0.050482425913163334,0.8959338387319091,5804,nev_name
Falkland Islands,0.044444444444444446,1.4814814814814816,135,nev_name
Libya,0.027705627705627706,0.6246134817563389,16170,nev_name
Moldova,0.014577259475218658,0,343,nev_name
Fiji,0.010101010101010102,0.5050505050505051,198,nev_name
Moroco,0.007451564828614009,0.07451564828614009,2684,nev_name
Iceland,0.001936108422071636,0.0968054211035818,1033,nev_name
American Samoa,0,0,3,nev_name
Anguilla,0,0,1,nev_name
Antigua and Barbuda,0,0,4,nev_name
British Virgin Islands,0,0,1,nev_name
Cook Islands,0,0,4,nev_name
Dominica,0,0,7,nev_name
Federated States of Micronesia,0,0,10,nev_name
Heard Island and McDonald Islands,0,0,4,nev_name
Kiribati,0,0,8,nev_name
Maldives,0,0,5,nev_name
Marshall Islands,0,0,5,nev_name
Montserrat,0,0,2,nev_name
NOR,0,0,3,nev_name
Niue,0,0,2,nev_name
Palau,0,0,8,nev_name
Pitcairn Islands,0,0,1,nev_name
Saint Helena,0,0,6,nev_name
Saint Lucia,0,0,7,nev_name
Saint Vincent and the Grenadines,0,0,3,nev_name
Samoa,0,0,29,nev_name
Seychelles,0,0,6,nev_name
South Georgia and the Islands,0,0,41,nev_name
Tonga,0,0,5,nev_name
Wallis and Futuna,0,0,3,nev_name
