service,group,n_total,n_hot,pct_area,global_n_hot,pct_share,grouping_var,expected_share,relative_intensity
Sed_export,Middle East & North Africa,85954,310,0.3606580263862066,67764,0.45747004309072664,region_wb,6.601395636753509,0.0692989889204255
C_Risk,Latin America & Caribbean,203768,614,0.30132307329904595,7724,7.949249093733816,region_wb,15.649686880307941,0.507949402089085
C_Risk_Red_Ratio,Latin America & Caribbean,203768,612,0.3003415649169644,7705,7.9428942245295255,region_wb,15.649686880307941,0.5075433320345916
C_Risk,South Asia,50707,146,0.2879286883467766,7724,1.8902123252200933,region_wb,3.894373368928266,0.4853700829769902
C_Risk_Red_Ratio,South Asia,50707,146,0.2879286883467766,7705,1.8948734587929914,region_wb,3.894373368928266,0.4865669722147011
C_Risk,Middle East & North Africa,85954,127,0.14775344951951042,7724,1.6442257897462453,region_wb,6.601395636753509,0.24907245076964618
C_Risk_Red_Ratio,Middle East & North Africa,85954,127,0.14775344951951042,7705,1.6482803374432187,region_wb,6.601395636753509,0.24968664630042142
C_Risk,Sub-Saharan Africa,241193,297,0.12313790201208162,7724,3.8451579492490935,region_wb,18.523982802609407,0.20757727915334925
C_Risk_Red_Ratio,Sub-Saharan Africa,241193,297,0.12313790201208162,7705,3.854639844256976,region_wb,18.523982802609407,0.20808915044522644
Pollination,Tropical & Subtropical Coniferous Forests,7056,1085,15.376984126984128,67764,1.6011451508175432,WWF_biome,0.5463960395579581,2.930374737183109
Sed_export,Tropical & Subtropical Moist Broadleaf Forests,196758,30240,15.36913365657305,67764,44.62546484859217,WWF_biome,15.236365072469491,2.92887868178124
Sed_Ret_Ratio,Tropical & Subtropical Coniferous Forests,7056,916,12.981859410430838,67764,1.351750191842276,WWF_biome,0.5463960395579581,2.473938487796984
Sed_export,Tropical & Subtropical Coniferous Forests,7056,892,12.641723356009072,67764,1.3163331562481553,WWF_biome,0.5463960395579581,2.4091191387717354
Pollination,Tropical & Subtropical Moist Broadleaf Forests,196758,23292,11.837892233098527,67764,34.37223304409421,WWF_biome,15.236365072469491,2.2559339370386455
Pollination,Mangroves,3343,387,11.576428357762488,67764,0.5710996989551974,WWF_biome,0.25887215989827866,2.206107057551517
Nature_Access,Mangroves,3343,363,10.858510320071792,67764,0.5356826633610766,WWF_biome,0.25887215989827866,2.0692942167731285
Sed_Ret_Ratio,Tropical & Subtropical Moist Broadleaf Forests,196758,21154,10.751278219945313,67764,31.217165456584617,WWF_biome,15.236365072469491,2.0488591148941917
Nature_Access,Tropical & Subtropical Moist Broadleaf Forests,196758,21004,10.67504243791866,67764,30.995808984121364,WWF_biome,15.236365072469491,2.0343309468298005
Sed_export,Temperate Conifer Forests,40825,3935,9.638701775872626,67764,5.806918127619385,WWF_biome,3.1613688088086227,1.8368366612080766
Pollination,Tropical & Subtropical Dry Broadleaf Forests,30088,2884,9.585216697686786,67764,4.25594711056018,WWF_biome,2.329926876164944,1.8266440694333985
N_Ret_Ratio,"Mediterranean Forests, Woodlands & Scrub",31982,3019,9.439684822712776,67764,4.455167935777109,WWF_biome,2.476592706511142,1.7989102221225752
N_export,Tropical & Subtropical Moist Broadleaf Forests,196758,18514,9.409528456276238,67764,27.32129154123133,WWF_biome,15.236365072469491,1.7931633569609084
N_Ret_Ratio,Montane Grasslands & Shrublands,51863,4829,9.311069548618475,67764,7.126202703500384,WWF_biome,4.016119302663603,1.774400152598576
C_Risk,Mangroves,3343,305,9.123541728985941,7724,3.9487312273433455,WWF_biome,0.25887215989827866,15.253595554249486
C_Risk_Red_Ratio,Mangroves,3343,303,9.06371522584505,7705,3.932511356262167,WWF_biome,0.25887215989827866,15.190939642978256
N_Ret_Ratio,Flooded Grasslands & Savannas,10905,985,9.032553874369555,67764,1.4535741691753734,WWF_biome,0.8444513621569634,1.721323730786035
Nature_Access,Flooded Grasslands & Savannas,10905,975,8.940852819807429,67764,1.4388170710111563,WWF_biome,0.8444513621569634,1.703848362960796
N_Ret_Ratio,Temperate Broadleaf & Mixed Forests,127955,11310,8.839044976749639,67764,16.690278023729412,WWF_biome,9.908461627216345,1.6844469557095445
Nature_Access,"Temperate Grasslands, Savannas & Shrublands",100775,8715,8.647978169188788,67764,12.860811050115107,WWF_biome,7.8037217809599255,1.6480355670154498
Sed_Ret_Ratio,Tropical & Subtropical Dry Broadleaf Forests,30088,2596,8.628024461579367,67764,3.8309426834307305,WWF_biome,2.329926876164944,1.6442330111820744
N_export,Tropical & Subtropical Coniferous Forests,7056,596,8.44671201814059,67764,0.8795230505873325,WWF_biome,0.5463960395579581,1.609680500793671
N_export,Flooded Grasslands & Savannas,10905,885,8.11554332874828,67764,1.3060031875332034,WWF_biome,0.8444513621569634,1.5465700525336457
N_export,"Mediterranean Forests, Woodlands & Scrub",31982,2514,7.860671627790632,67764,3.709934478484151,WWF_biome,2.476592706511142,1.4979994363750098
