"","name_long","mean","median","raster_name","service","color"
"84","Gibraltar",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"85","Guinea",-0.0189573112875223,-5.14430917960346e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"86","France",-0.00630874978378415,-0.000122796080008664,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"87","The Gambia",0.0194815322756767,0.0361583785855614,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"88","Guinea-Bissau",0.0276011694222689,5.93433786789044e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"89","Equatorial Guinea",-1.05188028101111e-05,-2.66767435738572e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"90","Greece",-0.010776137933135,-2.97123875379419e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"91","Grenada",0.00257642543874681,0.000702354559145666,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"92","Greenland",-2.81763553461323e-11,-5.17273805852418e-11,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"93","Guatemala",-0.0266887918114662,-4.17174588013604e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"94","France",0.0426299795508385,2.80418805451173e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"95","Guam",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"96","Guyana",0.0371528565883636,6.9358988589614e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"97","Hong Kong",-0.0278355907648802,-2.47015866669708e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"98","Heard I. and McDonald Islands",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"99","Honduras",0.0311728548258543,8.94600205225533e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"100","Croatia",-0.0083551499992609,9.05120454789557e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"101","Haiti",-0.0182084664702415,1.81516551526376e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"102","Hungary",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"103","Indonesia",0.00149961421266198,-8.32023082624854e-11,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"104","Isle of Man",0.00147884082980454,0.0295874922985115,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"105","India",0.00141571590211242,-4.69853696872642e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"106","British Indian Ocean Territory",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"107","Ireland",-0.00319260358810425,-1.29975709316337e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"108","Iran",-0.0018977327272296,1.63482735222707e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"109","Iraq",-0.00153947377111763,0.00230794078735874,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"110","Iceland",1.20265203804593e-05,7.4652561137023e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"111","Israel",-0.00119960762094706,-0.0163406936820775,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"112","Italy",-0.00557750556617975,-1.46124385699944e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"113","Jamaica",0.00584254087880254,8.29548965096813e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"114","Jersey",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"115","Jordan",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"116","Japan",-0.0058744577690959,-1.03159281849054e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"117","Kazakhstan",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"118","Kenya",-0.00424958858639002,-2.97915348932342e-11,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"119","Kyrgyzstan",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"120","Cambodia",0.0846546441316605,7.377126450519e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"121","Kiribati",-6.09565553588709e-09,-9.00160937751328e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"122","Saint Kitts and Nevis",0.0166255012154579,-0.000137603302317414,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"123","Republic of Korea",0.101375535130501,6.2459701698902e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"124","Kuwait",-0.00614525051787496,-0.0143109614115052,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"125","Lao PDR",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"126","Lebanon",-0.0724785700440407,-0.0238494822155458,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"127","Liberia",-0.0191325955092907,-5.06735929691085e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"128","Libya",0.0822134986519814,-0.00709535511896935,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"129","Saint Lucia",0.00412407610565424,-1.26292463553999e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"130","Liechtenstein",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"131","Sri Lanka",-0.0138312894850969,-4.58696571112518e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"132","Lesotho",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"133","Lithuania",-0.0115981912240386,9.18055084754161e-05,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"134","Luxembourg",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"135","Latvia",0.0305210240185261,4.4574648615135e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"136","Macao",-0.000923796789720654,-0.0859514400362968,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"137","Saint-Martin",-0.035763755440712,-0.0709210791523696,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"138","Morocco",-0.0220263972878456,-2.30166623094011e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"139","Monaco",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"140","Moldova",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"141","Madagascar",0.00149820314254612,-2.67554537807147e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"142","Maldives",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"143","Mexico",-0.0384519435465336,-7.479627492538e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"144","Marshall Islands",9.09331365761545e-09,1.20842148964681e-07,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"145","Macedonia",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"146","Mali",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"147","Malta",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"148","Myanmar",0.0137226115912199,9.1607849342049e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"149","Montenegro",0.00526465848088264,-0.00679628466070744,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"150","Mongolia",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"151","Northern Mariana Islands",-3.4145057892232e-09,-2.08903024624585e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"152","Mozambique",0.000765733770094812,7.88930396722375e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"153","Mauritania",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"154","Montserrat",-0.000154402252519503,-0.000111719241931524,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"155","France",-0.00322526763193309,-2.77789236571885e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"156","Mauritius",0.0225929245352745,0.00055771007853759,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"157","Malawi",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"158","Malaysia",0.00932682398706675,5.18223440510693e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"159","France",-0.000705707643646747,-0.000336968565132678,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"160","Namibia",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"161","New Caledonia",-0.00957322865724564,-1.63863619555195e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"162","Niger",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"163","Norfolk Island",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"164","Nigeria",-0.00623397948220372,-4.60119551476596e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"165","Nicaragua",0.000463164673419669,4.00005248274456e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"166","Niue",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"167","Netherlands",0.00389410043135285,2.6411991300176e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"168","Norway",-0.0544273778796196,-3.0707641992494e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"169","Nepal",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"170","Nauru",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"171","New Zealand",0.0123140886425972,1.54882766191108e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"172","Oman",-0.0211798138916492,-6.57004300539977e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"173","Pakistan",0.00213295267894864,1.8195238958865e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"174","Panama",-0.00193015101831406,2.78002365753728e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"175","Pitcairn Islands",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"176","Peru",0.0430583953857422,2.26182678240569e-05,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"177","Philippines",-0.000770805112551898,-6.19197941982e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"178","Palau",0.00527682993561029,-0.000410485550104408,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"179","Papua New Guinea",-0.00279801525175571,-4.81419189727614e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"180","Poland",0.0638451725244522,9.1289236087615e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"181","Puerto Rico",-0.00513524794951081,2.87625866745303e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"182","Dem. Rep. Korea",0.0446250811219215,0.000323895879024924,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"183","Portugal",0.00584764033555984,6.14783221806937e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"184","Paraguay",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"185","Israel",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"186","French Polynesia",1.06920183817749e-09,3.16104092980257e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"187","Qatar",0.000267265364527702,6.30371188933715e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"188","France",-0.0109841581434011,0.000125137255482983,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"189","Romania",-0.0237868279218674,-7.58740957125196e-05,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"190","Russian Federation",0.0129989637061954,1.2285866555179e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"191","Rwanda",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"192","Saudi Arabia",0.0260737556964159,3.53607669872897e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"193","Sudan",0.000188259771675803,1.48020764376653e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"194","Senegal",0.0550075359642506,5.41565389362414e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"195","Singapore",-0.00648742681369185,-1.16817543297838e-05,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"196","South Georgia and the Islands",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"197","Saint Helena",1.68150737778205e-09,1.66973120644497e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"198","Norway",-5.88496695819174e-10,2.90398937307945e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"199","Solomon Islands",0.000582499662414193,-5.7516759449129e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"200","Sierra Leone",-0.0364527925848961,-6.58793195696322e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"201","El Salvador",-0.0228136498481035,-8.28283234498551e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"202","San Marino",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"203","Somalia",-0.00019137206254527,-1.2917626803279e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"204","Saint Pierre and Miquelon",0.151492744684219,3.01249860230313e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"205","Serbia",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"206","South Sudan",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"207","Ṣo Tom̩ and Principe",-0.0124272480607033,-0.0185220831575568,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"208","Suriname",0.124755404889584,3.46076559151966e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"209","Slovakia",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"210","Slovenia",-0.00832431484013796,-0.000102728747490996,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"211","Sweden",0.100954793393612,3.56832739010112e-08,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"212","eSwatini",NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"213","Sint Maarten",-0.000734242843464017,0.000317472790047406,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"214","Seychelles",0.0204483270645142,0.0264772646112418,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
