"","region_wb","mean","median","raster_name","service","color","year","id"
"23","Antarctica",NA,NA,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
"24","North America",18.4919815063477,3.50362895811202,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
"25","Latin America & Caribbean",13.5702037811279,4.62053650007068,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"26","South Asia",57.6321678161621,20.3093256172151,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"27","Sub-Saharan Africa",9.99215698242188,6.25035302810366,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"28","Europe & Central Asia",23.0495910644531,4.61969801993681,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"29","Middle East & North Africa",46.4671630859375,9.75438113075921,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"30","East Asia & Pacific",40.0975303649902,8.55090264676267,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"31","Antarctica",NA,NA,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"32","North America",18.6529846191406,3.51802049774102,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen Export","#2c944c",2020,NA
"33","Latin America & Caribbean",55.2080535888672,0.245026698938794,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"34","South Asia",109.558799743652,6.89503994472843,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"35","Sub-Saharan Africa",42.1636543273926,0.374363086597009,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"36","Europe & Central Asia",23.4069271087646,0.101712190749144,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"37","Middle East & North Africa",98.3349380493164,3.9908122864616,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"38","East Asia & Pacific",90.9840316772461,1.23583319669263,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"39","Antarctica",NA,NA,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"40","North America",11.9324264526367,0.0694524366504221,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b",1992,NA
"41","Latin America & Caribbean",54.4639663696289,0.340035859986887,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"42","South Asia",106.311317443848,6.63626920869329,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"43","Sub-Saharan Africa",42.760368347168,0.37420697776675,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"44","Europe & Central Asia",23.6326961517334,0.103027061291795,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"45","Middle East & North Africa",98.3504028320312,3.96817128827546,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"46","East Asia & Pacific",94.641227722168,1.24834979990207,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"47","Antarctica",NA,NA,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"48","North America",12.3740940093994,0.0772621761393036,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment Export","#08306b",2020,NA
"49","Latin America & Caribbean",53755.1640625,104.05111487199,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"50","South Asia",162714.71875,2580.0496862048,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"51","Sub-Saharan Africa",33430.671875,300.767844452131,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"52","Europe & Central Asia",157268.234375,333.628047229141,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"53","Middle East & North Africa",121501.1796875,845.806066792593,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"54","East Asia & Pacific",87335.765625,62.3593483201616,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"55","Antarctica",NA,NA,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"56","North America",173902.484375,4604.65720098563,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00",2020,NA
"57","Latin America & Caribbean",27497.078125,0.789941470621123,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"58","South Asia",42801.32421875,2.8947694413898e-05,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"59","Sub-Saharan Africa",16688.337890625,7.22004720427031,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"60","Europe & Central Asia",44516.33984375,1.88448296805579e-06,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"61","Middle East & North Africa",7710.42822265625,1.05817163956678e-05,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"62","East Asia & Pacific",27267.849609375,4.97758203743609e-06,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"63","Antarctica",0,0,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"64","North America",53572.046875,2.37595257849653e-06,"nature_access_lspop2019_marESA1992_md5_b32b8b","Nature Access","#A57C00",1992,NA
"65","Latin America & Caribbean",0.182686686515808,6.23058762320567e-09,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
"66","South Asia",0.273087382316589,1.22316296230103e-07,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
"67","Sub-Saharan Africa",0.0272350199520588,7.12798122953669e-09,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77",1992,NA
