"","extent","service","color","metric","value"
"147","Temperate Grasslands, Savannas & Shrublands","Nature Access","#A57C00","pct_change",128.279859655519
"148","Tropical & Subtropical Moist Broadleaf Forests","Nature Access","#A57C00","year_1992",35863.46484375
"149","Tropical & Subtropical Moist Broadleaf Forests","Nature Access","#A57C00","year_2020",97758.71875
"150","Tropical & Subtropical Moist Broadleaf Forests","Nature Access","#A57C00","pct_change",172.585817282059
"151","Temperate Conifer Forests","Nature Access","#A57C00","year_1992",52904.08984375
"152","Temperate Conifer Forests","Nature Access","#A57C00","year_2020",101360.4609375
"153","Temperate Conifer Forests","Nature Access","#A57C00","pct_change",91.5928640618596
"154","Tropical & Subtropical Coniferous Forests","Nature Access","#A57C00","year_1992",102951.3984375
"155","Tropical & Subtropical Coniferous Forests","Nature Access","#A57C00","year_2020",123711.4609375
"156","Tropical & Subtropical Coniferous Forests","Nature Access","#A57C00","pct_change",20.1649154990382
"157","Rock & Ice","Nature Access","#A57C00","year_1992",0.131134733557701
"158","Rock & Ice","Nature Access","#A57C00","year_2020",17.1186752319336
"159","Rock & Ice","Nature Access","#A57C00","pct_change",12954.2646997496
"160","Boreal Forests/Taiga","Nature Access","#A57C00","year_1992",3318.9755859375
"161","Boreal Forests/Taiga","Nature Access","#A57C00","year_2020",15841.326171875
"162","Boreal Forests/Taiga","Nature Access","#A57C00","pct_change",377.295652278815
"163","Montane Grasslands & Shrublands","Nature Access","#A57C00","year_1992",19567.033203125
"164","Montane Grasslands & Shrublands","Nature Access","#A57C00","year_2020",34190.05859375
"165","Montane Grasslands & Shrublands","Nature Access","#A57C00","pct_change",74.7329717225072
"166","Lakes","Nature Access","#A57C00","year_1992",1728.79650878906
"167","Lakes","Nature Access","#A57C00","year_2020",37221.66015625
"168","Lakes","Nature Access","#A57C00","pct_change",2053.03883175481
"169","Flooded Grasslands & Savannas","Nature Access","#A57C00","year_1992",15733.0126953125
"170","Flooded Grasslands & Savannas","Nature Access","#A57C00","year_2020",19433.587890625
"171","Flooded Grasslands & Savannas","Nature Access","#A57C00","pct_change",23.5210844037204
"172","Mediterranean Forests, Woodlands & Scrub","Nature Access","#A57C00","year_1992",100119.859375
"173","Mediterranean Forests, Woodlands & Scrub","Nature Access","#A57C00","year_2020",271641.09375
"174","Mediterranean Forests, Woodlands & Scrub","Nature Access","#A57C00","pct_change",171.315896212524
"175","Tropical & Subtropical Dry Broadleaf Forests","Nature Access","#A57C00","year_1992",25549.69140625
"176","Tropical & Subtropical Dry Broadleaf Forests","Nature Access","#A57C00","year_2020",77089.4609375
"177","Tropical & Subtropical Dry Broadleaf Forests","Nature Access","#A57C00","pct_change",201.723647897533
"178","Temperate Broadleaf & Mixed Forests","Nature Access","#A57C00","year_1992",159722.78125
"179","Temperate Broadleaf & Mixed Forests","Nature Access","#A57C00","year_2020",322251.5
"180","Temperate Broadleaf & Mixed Forests","Nature Access","#A57C00","pct_change",101.756754720924
"181","Tundra","Nature Access","#A57C00","year_1992",53.1840133666992
"182","Tundra","Nature Access","#A57C00","year_2020",1083.26818847656
"183","Tundra","Nature Access","#A57C00","pct_change",1936.8304682227
"184","Tropical & Subtropical Grasslands, Savannas & Shrublands","Nature Access","#A57C00","year_1992",13563.6845703125
"185","Tropical & Subtropical Grasslands, Savannas & Shrublands","Nature Access","#A57C00","year_2020",24255.75
"186","Tropical & Subtropical Grasslands, Savannas & Shrublands","Nature Access","#A57C00","pct_change",78.8286204553131
"187","Mangroves","Nature Access","#A57C00","year_1992",70768.34375
"188","Mangroves","Nature Access","#A57C00","year_2020",141940.421875
"189","Mangroves","Nature Access","#A57C00","pct_change",100.570501376189
"190","Deserts & Xeric Shrublands","Nature Access","#A57C00","year_1992",7475.57421875
"191","Deserts & Xeric Shrublands","Nature Access","#A57C00","year_2020",31161.302734375
"192","Deserts & Xeric Shrublands","Nature Access","#A57C00","pct_change",316.841594003805
"193","Temperate Grasslands, Savannas & Shrublands","Pollination","#dd1c77","year_1992",0.228094965219498
"194","Temperate Grasslands, Savannas & Shrublands","Pollination","#dd1c77","year_2020",0.245284616947174
"195","Temperate Grasslands, Savannas & Shrublands","Pollination","#dd1c77","pct_change",7.53618200696986
"196","Tropical & Subtropical Moist Broadleaf Forests","Pollination","#dd1c77","year_1992",0.396566927433014
"197","Tropical & Subtropical Moist Broadleaf Forests","Pollination","#dd1c77","year_2020",0.410180747509003
"198","Tropical & Subtropical Moist Broadleaf Forests","Pollination","#dd1c77","pct_change",3.43291866624167
"199","Temperate Conifer Forests","Pollination","#dd1c77","year_1992",0.123122580349445
"200","Temperate Conifer Forests","Pollination","#dd1c77","year_2020",0.132321178913116
"201","Temperate Conifer Forests","Pollination","#dd1c77","pct_change",7.47108981761401
"202","Tropical & Subtropical Coniferous Forests","Pollination","#dd1c77","year_1992",0.252884984016418
"203","Tropical & Subtropical Coniferous Forests","Pollination","#dd1c77","year_2020",0.278478503227234
"204","Tropical & Subtropical Coniferous Forests","Pollination","#dd1c77","pct_change",10.1206164179184
"205","Rock & Ice","Pollination","#dd1c77","year_1992",6.02225213697238e-07
"206","Rock & Ice","Pollination","#dd1c77","year_2020",6.05149523380533e-07
"207","Rock & Ice","Pollination","#dd1c77","pct_change",0.485584066688575
"208","Boreal Forests/Taiga","Pollination","#dd1c77","year_1992",0.00820574350655079
"209","Boreal Forests/Taiga","Pollination","#dd1c77","year_2020",0.00839053746312857
"210","Boreal Forests/Taiga","Pollination","#dd1c77","pct_change",2.25200746806496
"211","Montane Grasslands & Shrublands","Pollination","#dd1c77","year_1992",0.0467384457588196
"212","Montane Grasslands & Shrublands","Pollination","#dd1c77","year_2020",0.0491222217679024
"213","Montane Grasslands & Shrublands","Pollination","#dd1c77","pct_change",5.10024663931616
"214","Lakes","Pollination","#dd1c77","year_1992",0.00116254948079586
"215","Lakes","Pollination","#dd1c77","year_2020",0.00110871798824519
"216","Lakes","Pollination","#dd1c77","pct_change",-4.63046893400339
"217","Flooded Grasslands & Savannas","Pollination","#dd1c77","year_1992",0.123786233365536
"218","Flooded Grasslands & Savannas","Pollination","#dd1c77","year_2020",0.169136866927147
"219","Flooded Grasslands & Savannas","Pollination","#dd1c77","pct_change",36.6362497093617
"220","Mediterranean Forests, Woodlands & Scrub","Pollination","#dd1c77","year_1992",0.783810079097748
"221","Mediterranean Forests, Woodlands & Scrub","Pollination","#dd1c77","year_2020",0.845461308956146
"222","Mediterranean Forests, Woodlands & Scrub","Pollination","#dd1c77","pct_change",7.86558268418357
"223","Tropical & Subtropical Dry Broadleaf Forests","Pollination","#dd1c77","year_1992",0.419267386198044
"224","Tropical & Subtropical Dry Broadleaf Forests","Pollination","#dd1c77","year_2020",0.431915462017059
"225","Tropical & Subtropical Dry Broadleaf Forests","Pollination","#dd1c77","pct_change",3.01670872464203
"226","Temperate Broadleaf & Mixed Forests","Pollination","#dd1c77","year_1992",0.753146409988403
"227","Temperate Broadleaf & Mixed Forests","Pollination","#dd1c77","year_2020",0.818536102771759
"228","Temperate Broadleaf & Mixed Forests","Pollination","#dd1c77","pct_change",8.68220201492601
"229","Tundra","Pollination","#dd1c77","year_1992",9.52878326643258e-06
"230","Tundra","Pollination","#dd1c77","year_2020",9.20960337680299e-06
"231","Tundra","Pollination","#dd1c77","pct_change",-3.34963951540358
"232","Tropical & Subtropical Grasslands, Savannas & Shrublands","Pollination","#dd1c77","year_1992",0.0628582686185837
"233","Tropical & Subtropical Grasslands, Savannas & Shrublands","Pollination","#dd1c77","year_2020",0.0660925954580307
"234","Tropical & Subtropical Grasslands, Savannas & Shrublands","Pollination","#dd1c77","pct_change",5.14542781805288
"235","Mangroves","Pollination","#dd1c77","year_1992",0.153485313057899
"236","Mangroves","Pollination","#dd1c77","year_2020",0.171492755413055
"237","Mangroves","Pollination","#dd1c77","pct_change",11.7323553611694
"238","Deserts & Xeric Shrublands","Pollination","#dd1c77","year_1992",0.0460329130291939
"239","Deserts & Xeric Shrublands","Pollination","#dd1c77","year_2020",0.0524338968098164
"240","Deserts & Xeric Shrublands","Pollination","#dd1c77","pct_change",13.9052329288025
