"","region_wb","mean","raster_name","service","year","color"
"77","Middle East & North Africa",121501.1796875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"78","East Asia & Pacific",87335.765625,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"79","Antarctica",NA,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"80","North America",173902.484375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"81","Latin America & Caribbean",0.182686686515808,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"82","South Asia",0.273087382316589,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"83","Sub-Saharan Africa",0.0272350199520588,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"84","Europe & Central Asia",0.162110015749931,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"85","Middle East & North Africa",0.126746460795403,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"86","East Asia & Pacific",0.427974164485931,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"87","Antarctica",0,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"88","North America",0.108749009668827,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","1992","#dd1c77"
"89","Latin America & Caribbean",0.189385995268822,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"90","South Asia",0.28164154291153,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"91","Sub-Saharan Africa",0.0311615150421858,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"92","Europe & Central Asia",0.169444620609283,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"93","Middle East & North Africa",0.154879435896873,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"94","East Asia & Pacific",0.466975808143616,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"95","Antarctica",0,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"96","North America",0.115028686821461,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","2020","#dd1c77"
"97","Latin America & Caribbean",-0.0100694848224521,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"98","South Asia",0.000286701659206301,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"99","Sub-Saharan Africa",0.00541873835027218,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"100","Europe & Central Asia",-0.00298613868653774,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"101","Middle East & North Africa",0.00284678675234318,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"102","East Asia & Pacific",-0.00194413948338479,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"103","Antarctica",0,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"104","North America",-0.000786422751843929,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","diff","#9e9ac8"
"105","Latin America & Caribbean",12784.32421875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"106","South Asia",58591.71484375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"107","Sub-Saharan Africa",11165.6474609375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"108","Europe & Central Asia",30364.763671875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"109","Middle East & North Africa",42687.2578125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"110","East Asia & Pacific",39560.828125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"111","Antarctica",NA,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"112","North America",19954.44921875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","diff","#A57C00"
"113","Latin America & Caribbean",0.374449908733368,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"114","South Asia",-0.0656930282711983,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"115","Sub-Saharan Africa",0.161193296313286,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"116","Europe & Central Asia",-0.0268986131995916,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"117","Middle East & North Africa",2.63484907150269,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"118","East Asia & Pacific",1.02382826805115,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"119","Antarctica",NA,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"120","North America",0.161002963781357,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","diff","#2c944c"
"121","Latin America & Caribbean",0.00669834204018116,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"122","South Asia",0.00854738615453243,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"123","Sub-Saharan Africa",0.00392628880217671,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"124","Europe & Central Asia",0.00733230821788311,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"125","Middle East & North Africa",0.0281386896967888,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"126","East Asia & Pacific",0.0389364436268806,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"127","Antarctica",0,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"128","North America",0.00627965107560158,"realized_polllination_on_ag_ESA2020mar_md5_da610a","Pollination","diff","#dd1c77"
"129","Latin America & Caribbean",-0.744089305400848,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"130","South Asia",-3.24748063087463,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"131","Sub-Saharan Africa",0.588575005531311,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"132","Europe & Central Asia",0.225767031311989,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"133","Middle East & North Africa",0.0154636967927217,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"134","East Asia & Pacific",3.6571900844574,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"135","Antarctica",NA,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"136","North America",0.44166710972786,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","diff","#08306b"
"137","Latin America & Caribbean",-0.754770398139954,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
"138","South Asia",-25.8896484375,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
"139","Sub-Saharan Africa",3.94811296463013,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
"140","Europe & Central Asia",2.20795440673828,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
"141","Middle East & North Africa",0.227344915270805,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
"142","East Asia & Pacific",8.07854270935059,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
"143","Antarctica",NA,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
"144","North America",3.68894791603088,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","diff","#17c0ff"
