...1,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,id,ee_r264_name,dir_ch_2,area_sqkm,service,pct_ch,area_sqkm_country,GHS_BUILT_S_E2020_GLOBE_R2023A_4326_3ss_V1_0_mean,rast_gdpTot_1990_2020_30arcsec.7_mean,GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.1_mean,GlobPOP_Count_30arc_2020_I32.1_sum,hdi_raster_predictions_2020.1_mean,farmsize_mehrabi.1_mean,GlobPOP_sqkm,pct_ch_trans,pct_ch_focus,threshold
8789,1061409070,1061412570,1060011660,1060011660,1908.5,1908.5,13507.8,13507.8,122660,0,0,3,437,262,Zambia,-3.9278,13507.85945,N_Ret_Ratio,-1.634,753983.4636,13.94899991,32244.63614,0.13314667,287355.5235,0.495552692,1.006982629,21.27330309,-0.968503603,1.634,1.24125
8925,1061419950,1061421510,1060011660,1060011660,2303.2,2303.2,1764.6,20091.2,122925,0,0,2,465,262,Zambia,-0.2277,1764.653079,N_Ret_Ratio,-2.356,753983.4636,2.476499278,12145.60211,0.055070145,14037.15539,0.487342076,1,7.954865345,-1.210749789,2.356,1.24125
8974,1061407740,1061408090,1060011660,1060011660,2388.7,2388.7,1927.6,41936.3,122943,0,0,2,475,262,Zambia,-0.8339,1927.607273,N_Ret_Ratio,-1.357,753983.4636,3.286856307,12528.92192,0.06045296,9229.425316,0.535472264,1,4.788039695,-0.857389624,1.357,1.24125
52825,7060760610,7060761700,7060049270,7060049270,930.4,930.4,4383.8,4383.9,752172,0,0,2,1670,235,United States,-0.0055,4383.775804,Pollination,-100,9495436.365,0.457202868,728.5605579,0.000114375,133.397541,0.752796118,956.0667671,0.030429659,-4.615120517,100,44.33609554
53528,7060054970,0,7060054970,7060054970,0,0,3229.2,3229.2,753906,0,0,1,1804,174,Panama,-0.4896,3229.249606,Pollination,-100,76559.54208,6.441774767,198105.8231,0.194007541,75906.29063,0.648049923,200,23.50622155,-4.615120517,100,44.33609554
9163,1061506850,1060011960,1060011960,1060011960,28.5,28.5,4215.8,4216.5,123022,0,0,2,513,152,Mozambique,-10.2402,4215.769577,Sed_Ret_Ratio,-1.1015,791476.4866,30.5276215,81185.81589,0.843456908,383607.8434,0.426157314,1,90.9928942,-0.742651375,1.1015,0.8475
9166,1061506850,1060011960,1060011960,1060011960,28.5,28.5,4215.8,4216.5,123022,0,0,2,513,152,Mozambique,-10.2402,4215.769577,N_Ret_Ratio,-2.094,791476.4866,30.5276215,81185.81589,0.843456908,383607.8434,0.426157314,1,90.9928942,-1.129464752,2.094,1.24125
9170,1061506860,1060011960,1060011960,1060011960,28.6,28.6,1191.7,26483.1,123023,0,0,1,514,152,Mozambique,-4.4334,1191.718402,N_export,35.705,791476.4866,22.6491438,101217.3432,0.377599579,76065.27876,0.424346937,1,63.82921772,3.602912986,35.705,32.524
9171,1061506860,1060011960,1060011960,1060011960,28.6,28.6,1191.7,26483.1,123023,0,0,1,514,152,Mozambique,-4.4334,1191.718402,N_Ret_Ratio,-2.724,791476.4866,22.6491438,101217.3432,0.377599579,76065.27876,0.424346937,1,63.82921772,-1.314798359,2.724,1.24125
9176,1061500460,1061506860,1060011960,1060011960,91.8,91.8,1012,16121.6,123025,0,0,1,515,152,Mozambique,-5.3947,1012.049727,N_Ret_Ratio,-2.132,791476.4866,16.11562984,35166.28112,0.369117,59497.79805,0.398273385,1,58.79229056,-1.141671778,2.132,1.24125
9207,1060011970,0,1060011970,1060011970,0,0,1002.6,1002.6,123030,0,1,0,521,152,Mozambique,-5.9799,1002.642974,N_Ret_Ratio,-1.873,791476.4866,3.992064226,6307.639507,0.061274437,12451.12854,0.424088964,1,12.41883956,-1.05535678,1.873,1.24125
9239,1061532410,1061534900,1060012210,1060012210,486.6,486.6,767.6,23864.7,123065,0,0,1,527,264,Zimbabwe,-3.1998,767.6370916,N_Ret_Ratio,-1.446,391519.7602,8.326997138,16598.62192,0.129034813,10113.53067,0.588688584,1,13.17552197,-0.894454037,1.446,1.24125
9270,1060012220,0,1060012220,1060012220,0,0,24517.8,24517.8,123070,0,1,0,533,152,Mozambique,-4.5621,24517.93965,N_Ret_Ratio,-1.89,791476.4866,34.42807775,109361.4643,0.337555349,1057628.918,0.437622554,1,43.13718677,-1.061256502,1.89,1.24125
