service,group,n_total,n_hot,pct_area,global_n_hot,pct_share,grouping_var,expected_share,relative_intensity
C_Risk_Red_Ratio,1. High income: OECD,375134,1892,0.5043531111549473,4337,43.62462531703943,income_grp,22.17384468248348,1.9673911286796952
Nature_Access,2. High income: nonOECD,186324,682,0.36602906764560655,77003,0.8856797787099203,income_grp,11.013449691627665,0.08041801647155176
C_Risk_Red_Ratio,4. Lower middle income,241864,692,0.28611120299011017,4337,15.95572976712013,income_grp,14.296370817585677,1.1160685442975018
C_Risk,4. Lower middle income,241864,672,0.27784209307710117,4337,15.494581507954807,income_grp,14.296370817585677,1.0838122279883253
Sed_Ret_Ratio,2. High income: nonOECD,186324,405,0.2173633026341212,58381,0.6937188468851168,income_grp,11.013449691627665,0.06298833392887572
C_Risk_Red_Ratio,3. Upper middle income,690600,1331,0.19273095858673617,4337,30.689416647452155,income_grp,40.82076574696799,0.7518089405202215
C_Risk,3. Upper middle income,690600,1284,0.18592528236316247,4337,29.605718238413647,income_grp,40.82076574696799,0.7252612168504615
C_Risk,5. Low income,197864,305,0.15414628229490965,4337,7.0325109522711555,income_grp,11.69556906133518,0.6012970309858797
Pollination,2. High income: nonOECD,186324,270,0.14490886842274747,84590,0.31918666509043625,income_grp,11.013449691627665,0.028981533854290847
Sed_export,2. High income: nonOECD,186324,268,0.1438354693973938,84590,0.3168223194230997,income_grp,11.013449691627665,0.028766855825740543
C_Risk_Red_Ratio,5. Low income,197864,284,0.14353293171066997,4337,6.548305280147567,income_grp,11.69556906133518,0.5598962518032453
C_Risk,2. High income: nonOECD,186324,138,0.07406453274940426,4337,3.181922988240719,income_grp,11.013449691627665,0.28891247314268764
C_Risk_Red_Ratio,2. High income: nonOECD,186324,138,0.07406453274940426,4337,3.181922988240719,income_grp,11.013449691627665,0.28891247314268764
Sed_export,Latin America & Caribbean,243999,31952,13.095135635801785,84590,37.77278638136895,region_wb,15.631472433080686,2.416457345466118
Pollination,Latin America & Caribbean,243999,25387,10.404550838323107,84590,30.011821728336685,region_wb,15.631472433080686,1.919961274078253
N_export,Latin America & Caribbean,243999,21836,8.949217004987725,84590,25.813925995980615,region_wb,15.631472433080686,1.6514071919002928
N_export,East Asia & Pacific,283663,23953,8.444174954082838,84590,28.316585884856366,region_wb,18.172494005241692,1.5582113207294883
Pollination,East Asia & Pacific,283663,19523,6.8824626405276685,84590,23.079560231705877,region_wb,18.172494005241692,1.2700271203858307
N_Ret_Ratio,East Asia & Pacific,283663,19363,6.826057681121613,57514,33.66658552700212,region_wb,18.172494005241692,1.8526122786058588
Nature_Access,East Asia & Pacific,283663,19306,6.805963414333204,77003,25.071750451281115,region_wb,18.172494005241692,1.3796538022821412
Nature_Access,Latin America & Caribbean,243999,15963,6.542239927212816,77003,20.730361154760203,region_wb,15.631472433080686,1.3261937570825895
Nature_Access,Middle East & North Africa,119668,7419,6.19965237156132,77003,9.634689557549706,region_wb,7.666371760219917,1.2567469800438331
Sed_Ret_Ratio,East Asia & Pacific,283663,17581,6.197847445736667,58381,30.114249498980833,region_wb,18.172494005241692,1.6571335497645314
Pollination,Sub-Saharan Africa,271051,16795,6.196250890053901,84590,19.854592741458802,region_wb,17.36452294664713,1.143399838997159
Sed_Ret_Ratio,Latin America & Caribbean,243999,14879,6.097975811376275,58381,25.486031414330007,region_wb,15.631472433080686,1.6304306279166794
Nature_Access,Sub-Saharan Africa,271051,16473,6.077454058461322,77003,21.392673012739763,region_wb,17.36452294664713,1.2319758555112172
N_export,South Asia,63005,3726,5.9138163637806525,84590,4.404775978248019,region_wb,4.0363317908936045,1.0912819377697502
Sed_export,East Asia & Pacific,283663,16679,5.879864487085027,84590,19.71746069275328,region_wb,18.172494005241692,1.0850167669372162
Nature_Access,South Asia,63005,3457,5.48686612173637,77003,4.4894354765398745,region_wb,4.0363317908936045,1.1122563032772776
