overlap_category,exposure_type,country,region_wb,income_grp,WWF_biome,population
2 or more overlapping,hydrological,Bosnia and Herzegovina,Europe & Central Asia,3. Upper middle income,"Mediterranean Forests, Woodlands & Scrub",117566.94692643476
2 or more overlapping,hydrological,Bosnia and Herzegovina,Europe & Central Asia,3. Upper middle income,Temperate Broadleaf & Mixed Forests,3245580.5717335544
2 or more overlapping,hydrological,Botswana,Sub-Saharan Africa,3. Upper middle income,Deserts & Xeric Shrublands,67518.95092666673
2 or more overlapping,hydrological,Botswana,Sub-Saharan Africa,3. Upper middle income,Flooded Grasslands & Savannas,7814.558143699018
2 or more overlapping,hydrological,Botswana,Sub-Saharan Africa,3. Upper middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",718546.2346524978
2 or more overlapping,hydrological,Brazil,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,8908572.700665677
2 or more overlapping,hydrological,Brazil,Latin America & Caribbean,3. Upper middle income,Flooded Grasslands & Savannas,25881.973615418887
2 or more overlapping,hydrological,Brazil,Latin America & Caribbean,3. Upper middle income,Mangroves,890774.9439903466
2 or more overlapping,hydrological,Brazil,Latin America & Caribbean,3. Upper middle income,None,909203.9935780484
2 or more overlapping,hydrological,Brazil,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Dry Broadleaf Forests,1023014.227072207
2 or more overlapping,hydrological,Brazil,Latin America & Caribbean,3. Upper middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",15777049.062836202
2 or more overlapping,hydrological,Brazil,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,65850566.70758417
2 or more overlapping,hydrological,British Indian Ocean Territory,Sub-Saharan Africa,2. High income: nonOECD,Tropical & Subtropical Moist Broadleaf Forests,0.0
2 or more overlapping,hydrological,British Virgin Islands,Latin America & Caribbean,1. High income: OECD,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Brunei,East Asia & Pacific,2. High income: nonOECD,Mangroves,3.848292499780655
2 or more overlapping,hydrological,Brunei,East Asia & Pacific,2. High income: nonOECD,Tropical & Subtropical Moist Broadleaf Forests,339463.0798548125
2 or more overlapping,hydrological,Bulgaria,Europe & Central Asia,3. Upper middle income,"Mediterranean Forests, Woodlands & Scrub",0.0
2 or more overlapping,hydrological,Bulgaria,Europe & Central Asia,3. Upper middle income,None,4305.723264947534
2 or more overlapping,hydrological,Bulgaria,Europe & Central Asia,3. Upper middle income,Temperate Broadleaf & Mixed Forests,1340075.515060503
2 or more overlapping,hydrological,Bulgaria,Europe & Central Asia,3. Upper middle income,"Temperate Grasslands, Savannas & Shrublands",0.0
2 or more overlapping,hydrological,Burkina Faso,Sub-Saharan Africa,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",8380649.484682863
2 or more overlapping,hydrological,Burundi,Sub-Saharan Africa,5. Low income,Lakes,54757.77394520491
2 or more overlapping,hydrological,Burundi,Sub-Saharan Africa,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",4580501.390455877
